Soil_Texture,Soil_Moisture_%,Bulk_Density_g_cm3,Porosity_%,Water_Holding_Capacity_%,pH_Level,Electrical_Conductivity_dS_m,Organic_Carbon_%,Nitrogen_mg_kg,Phosphorus_mg_kg,Potassium_mg_kg,Sulfur_mg_kg,Calcium_mg_kg,Magnesium_mg_kg,Temperature_C,Rainfall_mm,Humidity_%,Solar_Radiation_W_m2,Recommended_Crop,Soil_Health_Score
Loamy,20.15,1.58,31.78,12.43,8.34,1.83,2.65,467.76,26.64,350.4,6.71,1860.42,464.48,18.94,984.03,57.12,372.6,Vegetables,67.25442312
Sandy,36.37,1.57,39.51,32.2,6.65,0.63,3.44,224.44,48.44,90.18,38.29,865.19,155.98,38.36,899.94,52.16,657.95,Millets,47.46925177
Clayey,34.7,1.18,39.53,44.27,7.77,0.18,1.12,428.66,26.37,241.67,20.02,1880.46,300.8,17.69,707.4,31.39,489.05,Millets,62.77290972
Loamy,14.99,1.43,35.47,23.18,6.06,0.73,0.6,475.68,20.62,250.14,38.09,1974.13,172.05,11.46,1473.96,54.32,269.78,Millets,49.95311124
Loamy,32.19,1.51,43.54,39.81,7.45,0.49,1.87,265.85,47.13,167.8,51.35,1221.81,156.19,27.84,482.05,51.65,662.85,Wheat,55.21503914
Loamy,23.6,1.79,38.82,42.62,6.63,2.33,0.36,66.61,23.97,63.36,58.94,1970.42,171.91,25.04,1186.74,45.23,703.23,Millets,29.34338897
Clayey,30.76,1.36,46.55,42.41,5.41,1.05,0.88,370.39,27.27,349.03,45.67,371.22,351.16,22.9,419.02,60.16,117.43,Millets,59.10458972
Clayey,18.81,1.66,30.91,30.18,6.07,1.08,1.62,251.41,6.44,124.43,12.68,1620.67,407.4,16.76,1346.6,48.19,119.28,Millets,31.41256023
Sandy,18.81,1.36,45.41,24.4,8.33,1.65,0.43,394.46,31.02,134.11,28.69,1077.36,307.21,32.75,1104.15,84.86,184.83,Millets,45.45822613
Sandy,10.41,1.74,47.89,40.3,7.61,1.57,3.22,186.52,12,381.44,54.74,694.96,420.36,19.47,646.15,48.71,633.02,Millets,58.11428079
Sandy,10.34,1.27,40.62,24.79,4.8,1.46,3.29,476.55,11.79,217.32,58.68,187.3,196.01,35.01,1396.05,50.81,153.11,Vegetables,42.12924802
Clayey,35.16,1.33,47.21,18.9,6.49,0.93,1.96,86.68,39.25,340.03,9.32,1728.26,380.44,25.19,851.39,33.36,332.34,Millets,54.42302323
Sandy,28.9,1.78,34.96,10.91,5.69,2.2,2.87,470,36.65,310.52,53.14,1319.91,87.77,13.73,296.68,39.31,588.59,Vegetables,59.13211964
Loamy,16.35,1.55,43.67,25.39,7.29,1.68,3.24,160.16,28.83,293.61,10.22,1924.28,349.51,24.47,405.09,64.41,247.25,Millets,58.62384785
Sandy,11.3,1.7,42.74,44.5,5.79,2.45,0.57,453.3,38.34,296.47,8.82,435.24,107.14,32.82,900.42,82.68,173.13,Millets,62.25313594
Sandy,19.26,1.43,35.22,20.27,5.5,0.53,1.12,405.55,15.37,342.96,16.31,1431.8,369.6,18.96,1377.45,38.77,121.49,Millets,49.32378289
Loamy,21.95,1.36,33.74,39.89,5.44,1.89,3.45,276.81,34.41,73.35,5.32,563.32,140.97,23.43,572.5,36.23,308.24,Millets,39.66994927
Clayey,7.64,1.24,44.94,12.98,7.97,0.82,0.61,256.58,45.56,297.23,6.27,1286.88,105.01,27.53,1125.67,31.45,194.89,Rice,45.74958101
Clayey,36.96,1.24,37.42,30.13,6.1,1.97,0.48,486.17,12.75,82.64,43.64,1428.29,413.66,26.16,1478.73,48.29,472.09,Sugarcane,44.1965908
Clayey,16.45,1.63,47.92,39.09,7.82,2.44,0.25,296.39,48.53,109.3,37.8,276.65,170.43,18.97,611.27,56.93,791.77,Millets,47.225387
Clayey,23.35,1.52,45.86,29.98,4.7,1.18,2.41,223.32,46.43,126.7,17.33,954.82,282.33,16.89,1448.48,79.46,399.6,Millets,47.03392254
Clayey,25.79,1.4,45.59,32.52,5.79,0.28,2.39,85.3,49.05,226.37,22.11,1665.55,151.67,11.57,1473.63,87.65,397.85,Millets,49.28399285
Clayey,22.2,1.28,32.84,40.93,7.89,1.2,0.21,312.38,45.26,122.34,49.9,677.13,65.47,34.4,854.54,54.91,245.55,Millets,38.66295581
Loamy,37.3,1.79,46.66,15.67,6.71,1.3,3.41,174.07,44.17,175.11,18.61,805,280.28,34.6,784.06,45.14,610.78,Millets,48.58736167
Clayey,27.74,1.6,42.68,20.2,8.35,0.44,0.36,422.89,16,92.15,47.25,1131.82,201.81,32.28,998.19,53.67,203.88,Millets,30.42892081
Sandy,22.82,1.49,31.68,35.72,8.46,1.22,1.74,163.81,10.23,158.52,51.86,1528.01,79.58,17.88,1015.36,63.76,108.96,Millets,22.64789988
Clayey,26.91,1.11,48.51,47.03,5.62,0.45,2.76,253.04,35.61,231.82,55.56,970.89,445.82,17.64,400.11,41.89,391.72,Millets,63.2722356
Loamy,38.86,1.27,37.33,26.09,6.43,1.56,2.82,370.42,41.1,110.43,24.13,1711.56,293.96,23.83,1325.69,53.12,721.64,Sugarcane,57.73064265
Sandy,11.65,1.76,36.51,24.93,7.7,2.11,0.58,203.9,49.45,65.93,24.35,958.63,204.79,29.85,527.68,67.48,490.43,Millets,35.79136049
Sandy,25.9,1.73,36.19,36.94,5.15,0.75,1.09,84.78,11.93,125.47,37.38,1926.09,403.03,34.21,1378.97,67.71,341.03,Peanuts,26.82050467
Sandy,30.38,1.36,40.59,28.3,8.06,1.25,1.99,168.2,9.6,317.41,33.8,831.7,321.87,21.37,439.37,61.92,450.29,Millets,36.38013352
Clayey,28.18,1.56,35.65,13.8,8.48,0.97,2.23,150.29,39.58,162.59,28.93,693.31,189.89,29,1036.09,72.33,540.62,Millets,28.20658335
Clayey,18.77,1.24,32.42,49.23,5.83,1.28,3.24,468.37,31.64,90.76,45.86,913.48,59.12,24.2,564.82,37.05,627.64,Vegetables,52.74215757
Loamy,30.11,1.4,47.36,17.3,6.98,1.57,3.24,346.55,5.56,194.28,6.33,249.58,242.9,27.22,204.97,81.04,175.28,Wheat,37.26176196
Clayey,25.16,1.59,41.11,25.72,7.21,0.54,2.49,352.17,33.02,277.89,48.08,1147.88,379.87,26.6,599.78,56.99,133.5,Millets,61.68613827
Loamy,27.15,1.38,48.49,22.56,5.72,0.75,2.92,393.69,32.95,253.67,28.01,687.19,328.72,15.5,1247.65,57.99,557.37,Vegetables,58.91303794
Clayey,21.91,1.77,43.63,48.49,4.6,1.39,2.03,212.05,35.38,338.52,30.94,1561.96,290.2,13.8,418.34,49.12,402.69,Millets,63.52109946
Clayey,16.88,1.23,46.02,11.44,7.89,1,0.45,290.54,43.83,249.88,20.85,1937.67,381.72,33.87,447.59,83.82,685.63,Millets,55.14924235
Clayey,23.72,1.34,49.54,15.22,7.6,1.44,3.11,390.57,31.83,357.57,49.95,532.59,243.35,13.19,1062.16,63.09,157.19,Rice,62.16064011
Sandy,28.96,1.15,40.29,37.17,7.59,0.19,2.77,177.03,7.8,119.53,7.98,1739.17,196.25,23.44,1343.05,53.7,750.31,Millets,31.51928732
Sandy,36.1,1.18,48.81,42.17,5.39,2.49,2.62,385.14,9.73,249.35,30.86,1806.11,498.25,14.34,606.39,57.48,472.47,Vegetables,66.87850733
Clayey,36.68,1.56,41.59,42.25,6.58,0.26,2.6,72.64,37.29,316.58,29.53,1222.98,444.98,25.91,914.3,63.43,256.58,Millets,57.9691353
Loamy,25.16,1.78,48.92,23.67,5.07,0.68,1.38,328.19,9.39,159,49.1,1808.55,257.2,22.18,321.52,65.77,586.46,Millets,38.13970635
Clayey,37.09,1.14,30.71,41.89,7.3,0.24,3.36,193.08,30.38,164.94,24.07,1362.49,445.12,23.58,599.86,35.85,270.1,Millets,50.5587629
Sandy,7.28,1.22,33.06,41.86,7.62,0.37,0.92,77.69,26.23,74.67,48.61,1774.84,418.01,31.69,325.31,33.02,284.95,Millets,31.07818598
Clayey,19.39,1.39,40.83,19.37,5.36,1.9,3.15,175.89,40.81,178.01,34.39,798.7,185.48,24.28,259.93,66.06,257.85,Millets,39.84682079
Sandy,20.49,1.12,44.18,47.41,5.12,1.72,2.75,463.64,30.15,69.97,53.06,770.21,74.56,38.59,1472.35,80.16,623.15,Vegetables,51.3716685
Clayey,29.69,1.53,47.27,35.25,5.24,1.97,1.45,396.52,44.23,331.86,39.88,229.39,108.15,25.26,1421.55,67.27,588.2,Corn,61.36997812
Sandy,27.91,1.28,43.45,48.11,4.76,0.7,0.83,279.77,16.66,262.28,44.14,964.48,204.62,33.41,1438.29,42.97,139.38,Millets,41.99034733
Sandy,30.91,1.71,44.1,25.61,5.64,0.28,3.02,323.43,10.77,233.81,25.6,1041.65,338.12,33.6,1487.51,50.57,612.31,Sugarcane,44.80315038
Loamy,24.83,1.53,37.63,47.66,7.29,2.13,3.19,422.02,24.06,324.63,41.31,1695.89,287.86,13.19,1071.03,38.24,446.27,Wheat,76.91481333
Loamy,12.79,1.42,37.81,14.3,5.22,0.23,3.01,491.17,13.83,154.74,55.97,1495.48,376.17,33.8,1340.11,35.02,334.93,Vegetables,46.44256764
Sandy,28.53,1.26,40.51,32.21,4.81,0.32,1.66,474,26.43,179.55,19.02,567.32,81.46,28.2,660.23,68.94,498.4,Millets,42.01049376
Clayey,31.81,1.51,30.65,32.81,4.78,0.94,1.87,371.59,9.14,137.54,53.83,691.29,125.88,13.37,679.12,85.43,455.44,Millets,25.31806904
Loamy,33.61,1.76,45.65,49.12,6.69,1.69,1.09,294.14,32.95,213.58,53.44,1035.45,393.43,24.17,1430.22,73.47,750.55,Wheat,62.40382599
Loamy,7.43,1.36,38.22,45.14,5.69,1.2,3.09,362.6,43.31,137.82,24.33,1514.26,87.14,12.03,367.43,55.77,468.3,Vegetables,59.81013558
Clayey,16.97,1.14,46.62,36.74,5.77,2.08,2,158.47,33.14,305.67,27.07,1018.96,205.88,38.25,920.57,81.34,222.74,Millets,51.0142766
Sandy,36.5,1.22,36.22,43.25,5.27,0.11,0.67,406.67,44.98,135.65,48.89,1077.45,483.79,13.49,1464.06,38.4,249.33,Sugarcane,58.04545607
Sandy,32.06,1.62,32.39,21.18,7.85,0.76,0.33,359.08,20.41,198.27,19.69,1526.17,222.22,22.19,1474.74,37.98,786.72,Sugarcane,36.06929503
Loamy,28.88,1.66,38.46,19.12,6.21,1.56,2.81,185.64,24.81,214.15,30.87,1126.17,385.84,26.18,883.48,67.23,448.21,Millets,41.98006714
Clayey,19.37,1.49,32.4,27.67,5.39,1.21,2.44,343.1,21.21,317.69,57.13,671.39,263.01,25.16,1482.51,82.27,299.24,Millets,46.2300835
Loamy,23.45,1.25,40.73,20.25,7.89,1.38,3.36,433.2,20.41,122.2,41.82,1660.06,334.22,10.17,358.71,49.55,109.64,Vegetables,52.59633781
Sandy,35.68,1.36,43.72,10.34,5.94,2.1,1.62,304.46,9.74,151.52,19.32,944.8,236.97,37.24,1073.06,63.56,709.36,Sugarcane,27.41831755
Clayey,9.82,1.74,43.33,14.67,5.58,0.39,2.11,362.47,12.64,130.27,16.97,375.86,326.23,25.8,743.56,36.14,246.13,Millets,29.73326131
Clayey,23.35,1.33,45.1,39.51,7.65,1.21,0.53,215.07,38.73,233.8,17.89,1002.35,111.76,29.55,222.37,70.54,525.56,Millets,46.19156892
Clayey,33.31,1.25,31.28,26.66,5.98,1.56,1.27,293.9,12.65,245.32,58.82,384.15,358.87,26.37,953.72,74.49,534.93,Millets,32.39126643
Sandy,38.69,1.18,47.05,37.99,6.34,1.01,2.14,110.82,42.52,127.68,21.74,1196.34,280.12,27.68,480.04,86.44,609.87,Peanuts,45.93593441
Sandy,13,1.69,37.5,40.42,8.18,2.11,2.83,328.25,41.15,55.48,9.78,153.92,433.31,19.5,675.33,60.93,636.26,Vegetables,51.41491934
Clayey,7.38,1.37,37,36.54,4.65,0.27,2.69,187.55,33.86,267.68,43.56,662.83,138.57,30.4,365.38,71.72,148,Millets,39.6687526
Sandy,27.45,1.71,31.47,49.92,5.32,1.98,0.7,125.87,20.51,243.77,23.78,647.74,86.04,37.93,746.81,79.68,750.31,Peanuts,28.22622734
Sandy,35.07,1.67,47.28,39.39,7.65,0.97,1.65,429.38,32.62,102.81,41.91,1285.55,480.5,34.9,1496.74,43.19,608.61,Sugarcane,63.82097426
Sandy,39.76,1.36,47.07,48.56,4.68,1.8,1.6,309.9,13.24,368.85,53.86,1127.04,415.23,34.9,384.47,86.78,269.4,Millets,60.89380003
Loamy,23.86,1.48,40.08,14.65,7.08,0.47,3.41,66.62,20.16,82.48,46.95,436.48,76.8,29.18,550.24,30.88,486.44,Millets,12.97577227
Clayey,12.86,1.17,40.31,39.41,5.41,2.05,2.9,415.82,45.45,226.02,54.45,1877.05,71.14,20.07,1426.08,45.27,365.26,Vegetables,69.5528536
Sandy,25.45,1.26,32.44,35.13,6.43,2.11,2.04,312.95,26.02,253.16,40.16,1387.23,229.33,25.49,1354.51,51.78,746.21,Millets,51.78001561
Loamy,12.19,1.34,32.42,44.78,6.17,0.99,1.21,487.46,30.87,344.31,14.72,1653.87,247.93,34.25,450.23,40.93,653.44,Millets,70.70984024
Clayey,22.23,1.59,34.01,27.56,4.94,0.72,2.54,466.15,12.45,161.21,51.61,811.9,343.83,18.39,872.32,62.93,331.25,Vegetables,41.94135306
Sandy,16.32,1.65,42.03,12.36,7.31,2.27,2.62,147.19,31.66,55.01,29.44,1687.86,485.79,34.74,709.11,84.95,562.94,Millets,40.19724101
Loamy,20.62,1.45,49.19,15.61,6.2,1.95,2.19,98.74,6.35,120.89,25.22,1113.02,224.99,12.25,343.04,84.08,148.64,Millets,19.50340584
Clayey,34.67,1.23,30.19,18.59,5.37,1.04,3.25,246.43,6.67,382.67,19.96,1316.39,179.75,37.51,365.57,51.93,402.1,Millets,36.88598865
Loamy,5.96,1.18,30.75,22.13,5.46,1.29,3.38,96.55,34.75,122.99,43.24,332.12,358.19,28.21,764.5,51.31,167.41,Millets,26.88389612
Clayey,34.28,1.69,44.34,49.82,5.61,0.58,3.14,194.34,30.7,72.5,53.37,1751.46,458.11,12.53,894.36,32.68,643.15,Millets,55.08403141
Sandy,18.75,1.4,32.73,37.16,6.15,2.15,0.65,369.02,23.08,269.67,50.52,380.54,118.61,32.36,1264.36,30.56,626.71,Millets,41.35929919
Clayey,26.09,1.77,47.7,44.07,6.05,2.39,2.83,439.07,5.62,63.52,16.86,1133.32,345.49,18.11,737.18,33.49,292.33,Vegetables,52.04901982
Clayey,31.83,1.14,37.93,26.67,5.23,0.43,2.16,94.36,43.48,206.62,55.16,1651.96,178.84,17.19,527.85,80.07,276.37,Millets,38.71743678
Clayey,13.49,1.5,39.19,26.67,5.57,2.34,0.8,140.55,43.25,66.59,53.35,525.49,426.11,19.18,1060.13,52.42,749.1,Millets,32.68396411
Clayey,13.89,1.27,32.57,28.42,5.66,0.55,3.17,426.41,10.68,387.97,47.08,1497.95,148.07,20.63,1241.51,53.76,598.7,Vegetables,54.45501235
Loamy,23.97,1.39,31.76,25.74,6.9,0.86,1.36,416.65,23.26,66.25,18.31,562.29,109.68,16.95,531.32,50.91,467.42,Wheat,30.04754315
Clayey,25.57,1.61,31.65,30.89,5.69,0.35,2.72,260.85,19.95,143.71,29.32,1717.56,92.3,39.24,693.35,60.65,583.06,Millets,34.09248449
Loamy,16.19,1.37,35.81,29.99,6.25,1.55,2.32,211.19,15.48,102.32,29.99,790.27,457.69,34.73,587.58,38.71,768.91,Millets,32.9231573
Loamy,20.93,1.21,42.75,29.88,5.68,1.64,2.76,124.85,27.02,242.54,59.79,935.33,388.2,33.13,492.93,41.68,320.78,Millets,43.84174842
Sandy,9.73,1.57,45.44,49.84,6.46,1.59,3.26,273.26,38.41,122.06,56.75,477.25,252.37,10.31,1036.41,64.38,350.01,Millets,57.17014678
Sandy,25.34,1.76,43.93,33.17,6.32,1.54,0.69,198.38,35.68,127.03,18.09,307.91,230.64,25.04,1315.61,64.25,339.83,Peanuts,34.75932267
Clayey,20.15,1.76,46.02,34.5,7.83,0.17,3,148.75,7.14,117.88,42.74,1813.45,316.4,16.82,211.88,73.78,188.24,Millets,35.70970559
Clayey,37.62,1.11,43.21,40.18,6.45,1.88,0.63,361.68,40.74,139.27,44.34,592.25,151.9,39.95,338.35,81.79,197.86,Millets,49.03100695
Loamy,35.47,1.52,49.58,40.19,7.83,2.14,1.21,403.64,33.44,88.6,14.45,1957.2,53.19,13.95,734.69,40.43,269.46,Millets,56.19858285
Loamy,9.39,1.4,37.91,33.98,7.34,1.69,0.73,362.76,9.42,183.1,26.93,1333.91,143.55,12.61,696.43,63.46,692.99,Wheat,37.64229641
Loamy,38.35,1.64,42.77,42.2,6.53,1.8,2.74,167.17,11.31,247.99,38.28,1818.27,468.85,24.34,1118.54,40.73,300.9,Sugarcane,54.64601627
Loamy,39.77,1.47,40.86,41.73,7.56,1.85,1,131.88,28.87,179,47.5,496.55,429.56,10.88,540.81,86.58,742.31,Millets,40.3421905
Clayey,33.76,1.77,34.15,49.67,5.89,2.46,0.45,418.09,12.25,67.77,6.55,1727.19,341.86,36.41,596.33,58.47,219.61,Millets,46.57716532
Clayey,27.11,1.5,48.43,11.78,5.1,0.36,1.2,486.32,6.55,154.35,43.73,1139.43,318,18.52,1301.39,59.16,691.82,Millets,36.54717276
Clayey,12.5,1.67,42.25,24.08,8.05,2.35,2.62,486.77,36.07,156.89,35.8,917.58,168.75,23.19,264.64,87.96,744.59,Vegetables,58.03571325
Clayey,7.94,1.19,30.06,43.39,5.06,0.98,1.21,423.65,17.55,376.1,50.19,1644.74,243.16,29.97,1063.08,81.47,697.25,Millets,57.80301192
Sandy,22.24,1.66,47.5,19.21,5.8,1.96,1.82,381.98,32.81,272.62,17.85,1429.62,211.84,35.99,467.65,70.2,479.09,Millets,58.51265
Sandy,38.32,1.72,33,22.74,4.91,2.49,2.46,495,14.8,158.47,21.81,1606.87,310.56,32.34,234.87,86.05,582.4,Millets,49.33194926
Clayey,14.95,1.7,43.95,37.91,7.96,2.04,1.18,199.86,47.58,366.06,37.78,1271.88,249.4,17.11,718.72,40.95,668.94,Rice,65.14845977
Sandy,5.36,1.25,34.59,45.98,6.26,0.12,1.91,67.02,10.45,337.69,5.59,772.67,485.49,15.74,1351.89,55.45,595.07,Peanuts,38.78870281
Loamy,22.72,1.18,46.4,20.58,8.01,1.46,1.64,400.53,18,317.77,51.23,1114.39,67.62,11.43,467.49,41.67,227.34,Millets,47.63038545
Loamy,5.64,1.39,34.71,41.07,5.44,0.62,3.4,203.07,33.98,334.73,39.66,111.19,119.79,35.63,622.83,71.83,330.83,Millets,46.22645016
Sandy,29.38,1.64,49.58,41.76,5.2,0.33,3.19,460.72,14.19,264.3,15.2,1606.84,269.16,18.24,493.63,47.28,685.41,Vegetables,66.08277835
Sandy,37.86,1.27,37.25,34.83,7.65,0.53,2.04,142.31,49.29,280.58,28.84,1392.2,255.18,33.86,710.95,49.84,501.04,Millets,54.66202939
Sandy,22.34,1.31,43.72,21.17,6.8,2.18,1.34,352.98,10.19,179.58,15.11,414.84,341.75,31.03,563.96,70.89,381.47,Millets,36.82116978
Clayey,5.35,1.16,37.03,45.55,4.82,2.4,1.03,145.31,8.62,230.41,47.54,430.35,183.98,22.69,501.43,69.7,564.14,Millets,24.03383088
Clayey,33.45,1.26,30.54,35.73,6.02,0.87,0.33,275.74,9.12,181.88,32.38,1504.64,128.4,29.76,446.83,80.15,481.88,Millets,26.25517692
Loamy,36.95,1.42,37.3,44.1,5.94,1.94,1.29,54.93,11.32,75.72,24.06,1725.25,465.54,33.88,967.28,71.97,547.02,Millets,29.20904253
Sandy,37.72,1.74,32.44,16.31,5.01,0.6,0.94,168.98,31.75,314.93,56.62,1015.16,104.13,19.05,1080.4,68.78,691.45,Peanuts,28.56209789
Sandy,33.61,1.32,39.24,23.6,6.71,2.37,3.15,106.23,34.78,354.61,31.81,180.76,152.68,15.29,781.42,38.58,730.23,Millets,43.58528186
Clayey,37.44,1.41,36.15,46.51,5.5,1.99,2.2,453.73,16.85,373.39,51.84,616.93,119.81,34.41,439.79,72.19,126.82,Millets,59.30435299
Clayey,5.34,1.63,47.76,35.44,6.18,0.58,2.06,65.42,43.91,303.62,32.07,982.44,111.63,19.62,888.2,50.93,567.78,Corn,47.72545765
Clayey,10.55,1.72,43.56,38.9,5.9,1.94,0.87,418.87,28.4,240.66,8.46,203.03,254.09,10.49,526.47,68.62,764.84,Millets,53.00497176
Clayey,6.12,1.63,41.15,18.62,8.39,0.74,1.38,338.82,11.26,215.07,41,1711.83,484.4,19.91,356.72,79.52,249.91,Millets,44.18180341
Loamy,13.32,1.31,40.19,13.69,6.46,1.26,0.46,356.18,33.41,243.22,41.4,476.11,318.77,12.68,1483.98,41.72,454.08,Millets,42.3633773
Sandy,26.62,1.31,38.91,36.55,6.11,0.55,0.71,146.83,25.58,396.02,48.97,118.94,360,17.81,759.9,73.09,121.37,Peanuts,41.54813341
Sandy,36.75,1.52,38.77,41.72,7.33,1.23,2.85,275.73,28.94,155.43,48.09,1923.98,244.8,13.12,682.17,69.85,220.57,Millets,56.45740466
Sandy,22.29,1.24,41.34,19.02,7.61,0.91,2.36,479.9,44.09,143.58,44.41,1637.69,275.06,21.8,1273.51,60.41,582.88,Millets,62.82429312
Clayey,22.26,1.6,43.78,37.63,5.88,1.08,2.82,103.64,13.05,74.71,5.2,1471.03,383.26,18.99,386.07,35.36,456.66,Millets,33.00780721
Loamy,30.79,1.65,35.27,44.46,4.83,0.66,2.3,473.3,46.25,366.99,43.56,1147.14,380.91,14.14,950.21,63.99,306.61,Corn,80.26045233
Sandy,27.32,1.44,32.37,13.18,8.21,1.29,2.87,65.9,26.57,269.88,37.96,1609.82,476.02,19.82,1340.42,36.15,377.65,Millets,38.16677141
